File,Time,Latitude,Longitude,Altitude,ENL,terrain_elev_at_first_engine_event (ft),dynamic_AGL_at_first_engine_event (ft),Terrain_EPQS,Terrain_DIFF
45JV7EO1.igc,171615,39.476866666666666,-84.09098333333333,228,2,935.66,-131.85,936.1347488047363,-0.4747488047363504
13HVAGO1.igc,175838,28.408916666666666,-81.83745,1,0,115.89,-92.92,116.0726058731159,-0.1826058731159037
43NV7H21.igc,203434,28.15035,-81.64551666666667,337,2,142.11,769.97,135.36477459413985,6.745225405860168
659V7DX1.igc,173403,34.600766666666665,-80.44946666666667,302,3,492.49,747.67,489.4656740946596,3.0243259053403904
36TVAP12.igc,201253,47.31218333333333,-119.51715,362,3,1255.28,-64.34,1258.7710405398584,-3.4910405398584317
85IVEOD2.igc,193942,40.660866666666664,-77.59213333333334,593,7,738.25,1558.34,721.1626839302235,17.087316069776534
35FV7SY1.igc,175324,40.67885,-77.62468333333334,157,2,810.09,-111.27,812.7313909024168,-2.641390902416788
374g8nh1.igc,205703,47.31271666666667,-119.51696666666666,391,3,1256.56,-65.62,1259.6080712523387,-3.0480712523387865
56GV1JE2.igc,201005,47.312,-119.51771666666667,376,3,1254.92,-18.04,1258.2870445499611,-3.367044549961065
939V7CD1.igc,203456,28.737566666666666,-81.91975,81,1,95.68,370.2,93.39229627267412,2.2877037273258907
78SVPKC1.igc,174644,41.60061666666667,-74.45701666666666,54,1,534.53,26.5,538.9590198024624,-4.429019802462449
576_016.igc,202632,39.02596666666667,-119.68341666666667,3976,42,5168.08,8680.34,5183.375166507764,-15.295166507764407
46AV7SK1.igc,194802,38.9983,-119.74898333333333,1385,14,4708.01,-62.34,4713.619112679639,-5.609112679639111
15UV0S11.igc,204212,42.9452,-85.05086666666666,344,4,835.01,592.15,801.2518050298207,33.75819497017926
56UV1IB1.igc,192840,32.7697,-103.14346666666667,2495,26,3652.3,4992.72,3652.14281930623,0.15718069376998756
35hc48c3.igc,185238,36.00221666666667,-120.14121666666666,216,2,771.01,16.39,773.3215619542945,-2.3115619542944614
46IVAAW1.igc,195012,32.77161666666667,-103.21516666666666,1151,11,3692.92,-67.59,3697.563550028067,-4.643550028066784
08LVAAW3.igc,184812,29.215133333333334,-99.74668333333334,296,2,935.42,-79.12,936.4829776085304,-1.0629776085304457
35TV6WG1.igc,182534,32.4281,-111.38625,617,5,2053.96,-118.26,2053.812247890625,0.14775210937523298
08JVAAW1.igc,182027,29.215733333333333,-99.747,273,2,936.59,-73.73,937.7625532695556,-1.1725532695555785
187VAEQ1.igc,175437,30.202666666666666,-95.96295,58,0,288.04,-94.48,287.91338422635135,0.12661577364866616
171VACN1.igc,192621,39.74061666666667,-111.87006666666667,1461,15,4993.44,-55.77,4997.4610333406645,-4.0210333406648715
53JV7H21.igc,185648,28.621666666666666,-81.80063333333334,200,2,139.27,707.19,137.64648427345375,1.623515726546259
184VAEQ1.igc,163841,30.195166666666665,-95.96373333333334,64,0,308.24,-81.86,310.17907702218685,-1.9390770221868365
16IVA9T1.igc,161827,41.60021666666667,-74.4574,147,1,535.21,-105.42,539.6277933278001,-4.417793327800041
08LVJP71.igc,184350,29.2167,-99.7464,299,2,936.81,-5.05,939.4685540262473,-2.658554026247316
