,flight_id,flight_date,start_time,end_time,drift_distance,Wind_Magnitude_Avg,TAS_Avg,TAS_Min,TAS_Max,Cal_TS_Avg,Cal_TS_Min,Cal_TS_Max
0,2023-06-04-LXV-NBR-01.IGC,06/04/2023,2023-06-04 17:38:08,2023-06-04 17:38:42,0.02811945057758266,,57.40249922863313,53.49352051835852,63.974082073434126,,,
1,2019-03-08-LXV-80S-01.IGC,03/08/2019,2019-03-08 17:38:24,2019-03-08 17:38:52,0.02628437873630122,,54.563007373203234,50.248380129589634,58.498920086393085,,,
2,2021-06-15-LXV-780-01.IGC,06/15/2021,2021-06-15 19:55:58,2021-06-15 19:56:13,0.002376118486348382,,2.9093547516198703,0.0,19.72462203023758,,,
3,2021-06-15-LXV-780-01.IGC,06/15/2021,2021-06-15 20:15:41,2021-06-15 20:16:05,0.061778512014647465,,58.70493437448082,52.37580993520518,66.59827213822894,,,
4,2024-04-27-LXV-80S-01.IGC,04/27/2024,2024-04-27 18:17:55,2024-04-27 18:18:49,0.02610109693284551,,52.57824464951894,48.563714902807774,56.52267818574514,,,
5,2024-04-27-LXV-80S-01.IGC,04/27/2024,2024-04-27 18:28:58,2024-04-27 18:29:22,0.025734014292796283,,52.247516198704105,48.75809935205183,62.05183585313175,,,
6,2019-04-21-LXV-7R1-01.IGC,04/21/2019,2019-04-21 17:14:14,2019-04-21 17:15:10,0.0680638183398302,,69.17014225068891,61.0475161987041,74.75161987041037,,,
7,2021-10-03-LXV-9BF-01.IGC,10/03/2021,2021-10-03 19:07:55,2021-10-03 19:08:31,0.10101522303246468,,51.845572354211654,47.34341252699784,58.03455723542117,,,
8,2021-07-18-LXV-780-02.IGC,07/18/2021,2021-07-18 19:15:52,2021-07-18 19:16:04,0.004134213635655691,,10.283684997507892,0.0,71.59287257019439,,,
9,2023-06-02-LXV-7SK-01.IGC,06/02/2023,2023-06-02 19:31:04,2023-06-02 19:31:35,0.03596637902832845,,53.1401727861771,46.46868250539957,59.95140388768898,,,
10,2017-05-23-LXV-PHZ-01.IGC,05/23/2017,2017-05-23 19:38:07,2017-05-23 19:38:19,0.0021055535936707987,,0.0,0.0,0.0,,,
11,2017-05-23-LXV-PHZ-01.IGC,05/23/2017,2017-05-23 19:41:41,2017-05-23 19:42:07,0.028051201649047793,,57.06123510119188,53.35313174946004,59.33585313174946,,,
12,2017-05-23-LXV-PHZ-01.IGC,05/23/2017,2017-05-23 19:50:32,2017-05-23 19:51:03,0.027723821693430715,,54.18314659827213,51.00431965442764,60.21598272138228,,,
13,2021-06-03-LXV-7SA-03.IGC,06/03/2021,2021-06-03 20:16:11,2021-06-03 20:16:43,0.04570764984741226,,88.26412068852675,80.45896328293736,94.76241900647948,,,
14,2021-06-16-LXV-780-01.IGC,06/16/2021,2021-06-16 23:57:23,2021-06-16 23:57:34,0.0020651033625948925,,0.0,0.0,0.0,,,
15,2021-06-05-LXV-ABC-01.IGC,06/05/2021,2021-06-05 17:40:32,2021-06-05 17:41:05,0.02726387018790046,,51.01194257400584,47.08963282937364,56.749460043196535,,,
16,2015-03-13-CNI-V7G-01.IGC,03/13/2015,2015-03-13 19:07:28,2015-03-13 19:08:04,0.001857087371132905,,0.0,0.0,0.0,,,
17,2023-06-27-LXV-7EO-01.IGC,06/27/2023,2023-06-27 20:47:05,2023-06-27 20:47:32,0.031209075536671512,,54.316568960197465,47.08963282937364,60.043196544276455,,,
18,2016-04-19-CNI-V9B-01.IGC,04/19/2016,2016-04-19 20:05:38,2016-04-19 20:06:50,0.00195730700623588,,0.0,0.0,0.0,,,
19,16ALJBN1.IGC,06/10/2011,2011-06-10 20:38:38,2011-06-10 20:39:18,0.1275682143868877,,59.44237188297664,55.053995680345565,64.34665226781857,,,
20,2015-06-13-CNI-V8R-01.IGC,06/13/2015,2015-06-13 17:37:42,2015-06-13 17:42:26,0.10179922326415568,,48.50611951043916,37.25701943844492,59.39524838012959,,,
21,2019-04-21-LXV-80S-01.IGC,04/21/2019,2019-04-21 16:37:01,2019-04-21 16:37:25,0.026317520875507205,,53.97343412526997,49.38444924406047,64.08747300215983,,,
