Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Start_Alt (ft MSL),Max Altitude (ft MSL/ft AGL),Surface Height (ft MSL),Pressure Altitude (ft MSL),Offset (ft),Sensor Info,ENL_Engine_Run_Start_Times,MOP_Engine_Run_Start_Times,RPM_Engine_Run_Start_Times,ENL_Engine_Run_Altitudes_MSL,MOP_Engine_Run_Altitudes_MSL,RPM_Engine_Run_Altitudes_MSL,ENL_Engine_Run_Altitudes_AGL,MOP_Engine_Run_Altitudes_AGL,RPM_Engine_Run_Altitudes_AGL,ENL_Noise_Registration_Times,MOP_Noise_Registration_Times,RPM_Noise_Registration_Times,ENL_Noise_Registration_Altitudes_AGL,MOP_Noise_Registration_Altitudes_AGL,RPM_Noise_Registration_Altitudes_AGL
08/13/2024,4536-9239003232.igc,JS-3-18m,4:09:49,185531,230520,HOME,931,8336[7792],284,253,-31,"JS-3-18m's MOP monitor reports Engine Run 3 minutes, starts at T=185531 and: 935 msl [-2 agl]; Height gain/loss is: 1240
JS-3-18m Motor noise registered by ENL sensor at t=['185532', '185543'] and [-2, 13]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['185532', '185905'] and [-2, 1201]AGL",,185531,,,935,,,-2.0,,"185532,185543","185532,185905",,"-2.0,13.0","-2.0,1201.0",
08/16/2024,4536-9239003312.igc,Ventus3T,5:14:40,173156,224636,HOME,944,7145[6676],288,252,-36,"Ventus3T's ENL monitor reports Engine Run 1 minutes, starts at T=175215 and: 3645 msl [2707 agl]; Height gain/loss is: 603
Ventus3T Motor noise registered by ENL sensor at t=['173158', '173205', '173305', '173309', '174038', '174039', '174303', '174311', '175215', '175336', '180855', '180856', '180857', '180859', '180910', '180913', '181004', '181010', '224629', '224635'] and [43, 46, 463, 450, 3708, 3773, 4176, 4144, 2707, 3290, 5026, 5026, 5032, 5101, 5013, 5053, 4938, 4951, 128, 131]AGL",175215,,,3645,,,2707.0,,,"173158,173205,173305,173309,174038,174039,174303,174311,175215,175336,180855,180856,180857,180859,180910,180913,181004,181010,224629,224635",,,"43.0,46.0,463.0,450.0,3708.0,3773.0,4176.0,4144.0,2707.0,3290.0,5026.0,5026.0,5032.0,5101.0,5013.0,5053.0,4938.0,4951.0,128.0,131.0",,
08/27/2024,4536-9240051951.igc,ArcusM,0:59:14,181853,191807,HOME,948,5810[4817],289,215,-74,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=181853 and: 941 msl [3 agl]; Height gain/loss is: 1939
ArcusM Motor noise registered by ENL sensor at t=['181854', '182408'] and [13, 1998]AGL",181853,,,941,,,3.0,,,"181854,182408",,,"13.0,1998.0",,
08/28/2024,4536-9241100572.igc,EB29R,4:11:17,181352,222509,HOME,931,6371[5820],284,253,-31,"EB29R's ENL monitor reports Engine Run 7 minutes, starts at T=220234 and: 1902 msl [794 agl]; Height gain/loss is: 3094
EB29R Motor noise registered by ENL sensor at t=['181356', '181357', '220234', '220945'] and [-29, -28, 794, 3979]AGL",220234,,,1902,,,794.0,,,"181356,181357,220234,220945",,,"-29.0,-28.0,794.0,3979.0",,
08/18/2024,4536-9241100421.igc,NixusAsh30polar,5:32:43,182637,235920,HOME,941,9504[7559],287,249,-38,"NixusAsh30polar's ENL monitor reports Engine Run 6 minutes, starts at T=182637 and: 941 msl [16 agl]; Height gain/loss is: 1913
NixusAsh30polar Motor noise registered by ENL sensor at t=['182638', '183332', '183342', '183410'] and [16, 1979, 1959, 2096]AGL",182637,,,941,,,16.0,,,"182638,183332,183342,183410",,,"16.0,1979.0,1959.0,2096.0",,
08/29/2024,4536-9239003684.igc,JS-3-18m, 6:11:51,175148,000339,HOME,931,6440[5811],284,246,-38,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=175148 and: 931 msl [23 agl]; Height gain/loss is: 1723
JS-3-18m Motor noise registered by ENL sensor at t=['175149', '175205'] and [23, 42]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['175149', '175647'] and [23, 1733]AGL",,175148,,,931,,,23.0,,"175149,175205","175149,175647",,"23.0,42.0","23.0,1733.0",
08/20/2024,4536-9239003428.igc,JS-3-18m,4:04:13,194756,235209,HOME,931,7093[6453],284,254,-30,"JS-3-18m's MOP monitor reports Engine Run 6 minutes, starts at T=194756 and: 931 msl [-12 agl]; Height gain/loss is: 1778
JS-3-18m Motor noise registered by ENL sensor at t=['195233', '195238', '195256', '195258', '195332', '195346', '195350', '195354', '195357', '195419'] and [1319, 1303, 1339, 1348, 1430, 1535, 1582, 1598, 1614, 1699]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['194757', '195431'] and [-12, 1840]AGL",,194756,,,931,,,-12.0,,"195233,195238,195256,195258,195332,195346,195350,195354,195357,195419","194757,195431",,"1319.0,1303.0,1339.0,1348.0,1430.0,1535.0,1582.0,1598.0,1614.0,1699.0","-12.0,1840.0",
08/16/2024,4536-9239003310.igc,JS-3-18m,5:42:59,181134,235433,HOME,944,7975[7145],288,261,-27,"JS-3-18m's MOP monitor reports Engine Run 1 minutes, starts at T=235101 and: 1801 msl [850 agl]; Height gain/loss is: 26
JS-3-18m Motor noise registered by MOP sensor at t=['182642', '182655', '182659', '182708', '182719', '182723', '204309', '204313', '204419', '204422', '204454', '204500', '204603', '204607', '204931', '204935', '205743', '205747', '211138', '211142', '211308', '211313', '211434', '211438', '211519', '211524', '212920', '212924', '212938', '212943', '214750', '214754', '215240', '215244', '221837', '221841', '222023', '222032', '222133', '222136', '235101', '235225', '235417', '235426'] and [4298, 4200, 4193, 4144, 4098, 4092, 6034, 6066, 5702, 5712, 5400, 5357, 5076, 5049, 4065, 4061, 2411, 2385, 3343, 3340, 3362, 3350, 2861, 2838, 2481, 2677, 4741, 4643, 4512, 4449, 4515, 4456, 4744, 4770, 5629, 5604, 4708, 4553, 4098, 4092, 850, 909, 108, 118]AGL",,235101,,,1801,,,850.0,,,"182642,182655,182659,182708,182719,182723,204309,204313,204419,204422,204454,204500,204603,204607,204931,204935,205743,205747,211138,211142,211308,211313,211434,211438,211519,211524,212920,212924,212938,212943,214750,214754,215240,215244,221837,221841,222023,222032,222133,222136,235101,235225,235417,235426",,,"4298.0,4200.0,4193.0,4144.0,4098.0,4092.0,6034.0,6066.0,5702.0,5712.0,5400.0,5357.0,5076.0,5049.0,4065.0,4061.0,2411.0,2385.0,3343.0,3340.0,3362.0,3350.0,2861.0,2838.0,2481.0,2677.0,4741.0,4643.0,4512.0,4449.0,4515.0,4456.0,4744.0,4770.0,5629.0,5604.0,4708.0,4553.0,4098.0,4092.0,850.0,909.0,108.0,118.0",
08/11/2024,4536-9239003154.igc,JS-3-15m,3:16:25,191538,223203,HOME,938,5964[4994],286,253,-33,"JS-3-15m's MOP monitor reports Engine Run 3 minutes, starts at T=222327 and: 2214 msl [1289 agl]; Height gain/loss is: -243
JS-3-15m Motor noise registered by MOP sensor at t=['222324', '222653'] and [1299, 1030]AGL",,222327,,,2214,,,1289.0,,,"222324,222653",,,"1299.0,1030.0",
08/20/2024,4536-9241100454.igc,EB29R, 5:08:36,190833,001709,HOME,938,8579[7402],286,243,-43,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=190833 and: 938 msl [7 agl]; Height gain/loss is: 2073
EB29R Motor noise registered by ENL sensor at t=['190834', '191354'] and [7, 2132]AGL",190833,,,938,,,7.0,,,"190834,191354",,,"7.0,2132.0",,
08/12/2024,4536-9240051738.igc,Twinshark,3:02:25,194337,224602,HOME,925,7480[7001],282,264,-18,"Twinshark's ENL monitor reports Engine Run 5 minutes, starts at T=194337 and: 931 msl [-16 agl]; Height gain/loss is: 1883
Twinshark Motor noise registered by ENL sensor at t=['194338', '194935'] and [-16, 1919]AGL",194337,,,931,,,-16.0,,,"194338,194935",,,"-16.0,1919.0",,
08/15/2024,4536-9240051784.igc,ArcusM,3:52:25,180257,215522,HOME,931,8156[6336],284,261,-23,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=180257 and: 925 msl [-12 agl]; Height gain/loss is: 2129
ArcusM Motor noise registered by ENL sensor at t=['180258', '180853'] and [-16, 2169]AGL",180257,,,925,,,-12.0,,,"180258,180853",,,"-16.0,2169.0",,
08/18/2024,4536-9239003351.igc,AS33Es18m,5:23:57,180150,232547,HOME,944,9790[8258],288,248,-40,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=180150 and: 980 msl [68 agl]; Height gain/loss is: 1624
AS33Es18m Motor noise registered by ENL sensor at t=['180151', '180532'] and [68, 1643]AGL",180150,,,980,,,68.0,,,"180151,180532",,,"68.0,1643.0",,
08/18/2024,4536-9239003356.igc,JS-3-18m,5:43:23,181626,235949,HOME,944,9340[7530],288,251,-37,"JS-3-18m's RPM monitor reports Engine Run 8 minutes, starts at T=234828 and: 1630 msl [712 agl]; Height gain/loss is: -23
JS-3-18m Motor noise registered by MOP sensor at t=['200436', '200441', '204728', '204732', '211433', '211437', '211439', '211444', '212316', '212323', '223124', '223135', '223736', '223739', '223809', '223816', '223818', '223822', '223855', '223900', '223907', '223911', '224405', '224409', '224824', '224839', '225030', '225034', '225108', '225138', '225239', '225249', '225734', '225749', '225903', '225914', '234847', '235323', '235415', '235555'] and [4826, 4839, 3668, 3638, 4180, 4160, 4141, 4088, 5460, 5456, 5384, 5325, 6548, 6676, 6374, 6516, 6562, 6460, 6319, 6358, 6316, 6266, 6920, 6952, 6007, 5987, 5958, 5988, 5650, 5436, 5016, 4954, 4324, 4256, 3514, 3445, 647, 1132, 843, 998]AGL",,,234828,,,1630,,,712.0,,"200436,200441,204728,204732,211433,211437,211439,211444,212316,212323,223124,223135,223736,223739,223809,223816,223818,223822,223855,223900,223907,223911,224405,224409,224824,224839,225030,225034,225108,225138,225239,225249,225734,225749,225903,225914,234847,235323,235415,235555",,,"4826.0,4839.0,3668.0,3638.0,4180.0,4160.0,4141.0,4088.0,5460.0,5456.0,5384.0,5325.0,6548.0,6676.0,6374.0,6516.0,6562.0,6460.0,6319.0,6358.0,6316.0,6266.0,6920.0,6952.0,6007.0,5987.0,5958.0,5988.0,5650.0,5436.0,5016.0,4954.0,4324.0,4256.0,3514.0,3445.0,647.0,1132.0,843.0,998.0",
08/21/2024,4536-9241100471.igc,EB29R, 4:41:24,194845,003009,HOME,948,12828[10721],289,261,-28,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=194845 and: 951 msl [26 agl]; Height gain/loss is: 1982
EB29R Motor noise registered by ENL sensor at t=['194846', '195348'] and [23, 2067]AGL",194845,,,951,,,26.0,,,"194846,195348",,,"23.0,2067.0",,
08/20/2024,4536-9241100450.igc,EB29R, 5:09:52,191726,002718,HOME,941,10006[8006],287,239,-48,"EB29R's ENL monitor reports Engine Run 5 minutes, starts at T=191726 and: 944 msl [19 agl]; Height gain/loss is: 1861
EB29R Motor noise registered by ENL sensor at t=['191727', '192321', '192528', '192530'] and [19, 1930, 2211, 2228]AGL",191726,,,944,,,19.0,,,"191727,192321,192528,192530",,,"19.0,1930.0,2211.0,2228.0",,
