,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
120,2023-07-03-FLA-D5C-01.IGC,ASW 27-18 E (ASG-29E),,,,55.9,92.5,74.2,True,,,
121,2022-09-24-CNI-29F-01.IGC,AS 33ES,45.0,63.1,53.9,45.0,70.4,54.4,True,,,
122,05GE6AB2.IGC,DUO DISCUS T,63.7,72.4,67.6,45.6,64.2,54.5,True,,,
123,2023-08-09-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),45.2,93.6,78.2,45.4,94.2,74.3,True,,,
124,2019-06-16-CNI-28H-01.IGC,ASW 27-18 E (ASG-29E),48.2,68.0,56.9,48.3,76.8,61.6,True,,,
125,2019-05-25-CNI-22A-01.IGC,VENTUS 3F,45.1,72.7,57.7,48.9,88.1,64.7,True,,,
126,2015-06-30-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),50.1,94.5,74.1,47.1,95.0,79.9,True,,,
127,2012-05-19-NKL-10R-01.IGC,DISCUS-2CT,58.1,63.0,59.9,45.2,67.7,59.0,True,,,
128,2015-07-23-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"77.8,68.9","91.4,87.1","86.1,78.2","65.3,62.6","87.1,92.3","75.3,77.4",True,,,
129,16ALJBN1.IGC,LS 10-ST,,,,93.6,94.2,93.8,True,49.84,95.70,63.05
130,2013-04-24-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"55.2,53.6","66.6,68.0","63.4,60.5","53.1,48.4","88.5,81.9","67.6,66.0",False,,,
131,2023-06-18-CNI-295-01.IGC,ASW-24E,45.1,79.6,56.9,45.3,63.6,55.2,True,,,
132,2012-05-13-NKL-10R-01.IGC,DISCUS-2CT,45.5,62.1,48.8,45.3,77.7,57.7,True,,,
133,2018-10-07-CNI-22A-01.IGC,VENTUS 3F,54.5,62.0,58.1,50.1,65.5,57.6,True,,,
