,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
406,2023-06-02-CNI-29F-01.IGC,AS 33ES,46.0,76.6,68.3,45.1,81.0,61.6,True,,,
407,2019-04-24-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),68.3,81.6,72.4,67.7,78.5,71.8,True,,,
408,2018-06-28-CNI-27G-01.IGC,VENTUS 3F,45.5,54.0,49.4,48.9,58.3,54.2,False,,,
409,2016-05-23-NKL-10R-01.IGC,DISCUS-2CT,"53.8,55.6","63.2,66.3","58.6,58.6","55.6,46.9","68.7,88.7","62.9,78.0",True,,,
410,2019-10-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),56.5,70.5,65.3,48.2,76.1,56.1,False,,,
411,2019-04-21-LXV-83L-01.IGC,ASW 27-18 E (ASG-29E),55.2,58.4,56.9,47.8,80.3,64.1,True,66.94,82.79,74.34
412,65BV1WZ1.IGC,ASW 27-18 E (ASG-29E),46.1,64.2,53.7,46.4,80.2,70.3,False,,,
413,2022-10-06-CNI-29F-01.IGC,AS 33ES,45.0,50.5,47.4,48.5,76.7,65.2,True,,,
414,2018-04-19-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.7,81.5,67.0,45.1,76.7,63.3,False,,,
415,2016-05-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),54.3,56.5,55.6,45.2,55.2,49.6,True,,,
416,2017-08-05-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),65.1,73.8,68.2,60.6,94.4,73.5,True,,,
417,2021-06-05-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"55.9,49.9","60.0,59.0","58.0,54.2","46.3,53.0","65.5,93.7","55.9,69.2",True,,,
418,2013-03-15-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),47.2,62.6,51.9,45.8,76.4,68.5,False,,,
419,2015-06-15-CNI-205-01.IGC,ASW 27-18 E (ASG-29E),"47.1,77.4","47.1,78.0","47.1,77.7","60.3,55.1,59.5","80.1,80.1,82.3","69.8,67.3,70.5",True,,,
420,23DVALM1.igc,AS 33ES,49.2,73.7,55.2,55.4,77.3,65.2,True,45.69,89.05,74.29
421,938V1KO1.igc,VENTUS 3F,46.0,78.8,65.5,45.1,92.3,74.9,True,,,
422,33BV83L1.igc,ASW 27-18 E (ASG-29E),,,,45.1,92.8,74.4,True,66.52,86.91,74.06
423,174V7R11.igc,ASW 27-18 E (ASG-29E),45.5,94.9,82.4,45.2,94.5,75.3,True,60.24,85.62,68.46
424,45VV40R1.igc,AS 33ES,49.7,68.4,61.3,46.9,75.2,62.8,True,,,
425,33HVAL81.igc,VENTUS 3F,56.0,69.5,61.5,46.0,84.1,72.2,True,48.15,68.13,57.32
426,46NV8J41.igc,VENTUS 3T,52.9,76.8,68.7,45.0,77.5,60.2,True,57.24,68.88,62.56
427,467V8KR1.igc,ASW 27-18 E (ASG-29E),47.6,68.1,52.2,45.5,77.6,61.3,True,55.43,80.94,70.58
428,339V8KR1.igc,ASW 27-18 E (ASG-29E),51.9,74.5,56.9,45.7,78.3,67.0,True,52.88,84.92,77.57
429,94OV83L1.igc,ASW 27-18 E (ASG-29E),62.2,87.6,77.5,74.4,94.9,88.0,True,36.61,90.71,66.85
430,339V83L1.igc,ASW 27-18 E (ASG-29E),47.1,54.7,50.6,49.6,81.1,62.0,True,63.95,80.89,70.55
431,2021-07-04-LXV-59J-01.igc,LS 10-ST,45.0,89.0,54.9,45.2,89.4,73.0,True,,,
432,38EVAKJ1.igc,AS 33ES,50.1,72.0,58.9,48.5,73.8,64.3,True,53.45,78.39,67.66
433,17UVAIK1.igc,VENTUS 3F,45.6,60.5,52.7,45.0,67.2,53.8,True,41.85,54.08,48.41
434,2024-03-20-NAV-170863-01.igc,DUO DISCUS T,58.1,64.9,60.9,46.5,61.7,56.4,True,,,
435,03FV83L1.igc,ASW 27-18 E (ASG-29E),54.0,68.3,56.6,49.5,74.3,63.3,False,66.75,85.58,77.72
436,33BVJBN1.igc,LS 10-ST,"59.7,61.5","72.1,78.7","61.8,66.4","46.3,46.7","73.5,94.8","57.4,83.4",False,"53.67,47.49","89.49,85.32","62.25,53.47"
437,43PVALM1.igc,AS 33ES,45.1,73.6,56.3,46.9,62.2,52.8,True,42.73,85.82,71.99
438,46PV8KR1.igc,ASW 27-18 E (ASG-29E),63.1,90.2,70.6,70.5,93.8,80.6,True,50.96,91.57,77.58
439,2021-06-28-LXV-59J-01.igc,LS 10-ST,48.5,90.0,61.6,90.6,94.5,92.5,True,,,
440,339VJBN1.igc,LS 10-ST,"47.3,48.9","76.8,60.0","56.0,53.7","48.6,45.6","79.6,71.7","61.1,59.2",True,"51.54,46.93","98.03,92.48","62.65,55.27"
441,94MV7R11.igc,ASW 27-18 E (ASG-29E),51.9,67.5,60.1,50.7,93.6,77.7,True,45.50,82.62,67.21
442,99FV1KO1.igc,VENTUS 3F,52.5,66.9,56.6,45.2,72.0,61.5,True,,,
443,96RV7R11.igc,ASW 27-18 E (ASG-29E),55.0,73.9,63.8,55.3,94.5,86.2,True,58.56,84.25,70.54
444,456VJBN1.igc,LS 10-ST,45.3,54.0,49.6,45.3,94.7,74.3,True,,,
445,96GV2OE2.igc,VENTUS 3T,57.8,73.4,65.7,53.7,76.6,66.2,True,,,
446,2023-08-14-NAV-6OD-01.igc,LS 10-ST,62.0,89.2,70.1,45.4,79.9,64.7,True,,,
447,174c48r6.igc,DISCUS-2CT,"50.3,45.0","94.4,94.6","69.8,64.8",46.4,81.1,62.8,True,,,
448,14IV1WZ7.igc,ASW 27-18 E (ASG-29E),45.8,79.3,60.4,47.0,94.8,71.3,True,,,
449,26oc4ky1.igc,ASW-24E,"59.2,61.5,62.1,61.9,66.3,56.5,62.0,62.7,60.2,62.3,68.5,63.2,65.3","74.0,75.8,72.8,75.8,85.8,71.0,72.5,76.7,69.6,70.5,82.6,74.6,73.3","63.7,67.4,66.3,69.1,74.9,65.2,66.6,68.6,65.3,66.5,77.3,68.4,69.0","57.2,60.1,61.3,58.2,59.9,60.8,59.5,62.2,59.8,64.1,62.1,62.1,62.1","65.3,69.8,82.8,84.6,86.1,76.6,89.8,82.6,73.9,84.4,82.5,82.5,86.5","62.0,65.7,72.2,66.2,78.0,71.7,76.4,72.0,66.2,77.7,73.1,72.9,75.3",False,,,
450,36AV8KR1.igc,ASW 27-18 E (ASG-29E),48.0,74.7,54.3,48.8,94.8,70.8,True,61.72,80.12,69.91
451,35JVNBR1.igc,VENTUS 3F,60.2,82.2,69.9,73.7,94.7,85.2,True,54.03,76.32,62.39
452,184VAIK1.igc,VENTUS 3F,"51.9,60.2,59.0,53.7,53.7","70.9,67.9,68.5,64.5,68.0","61.1,62.8,62.6,58.2,61.6","45.3,45.3,45.3,45.1,45.3","73.1,78.1,78.1,73.1,73.9","62.3,62.0,62.2,61.4,63.3",True,"40.44,46.33,45.44,44.35,45.16","53.28,55.04,53.16,54.73,59.63","46.55,49.09,50.40,48.49,51.02"
453,23IVAIK1.igc,VENTUS 3F,45.2,86.3,62.4,45.0,85.8,65.9,True,46.21,59.39,53.92
454,94OV7R11.igc,ASW 27-18 E (ASG-29E),45.5,65.1,57.5,58.7,87.7,78.1,True,46.21,82.44,70.22
455,462V8KR1.igc,ASW 27-18 E (ASG-29E),60.3,73.0,63.5,49.0,70.5,60.0,True,53.56,80.79,71.74
456,461VAKJ1.igc,AS 33ES,53.2,73.3,62.2,45.4,81.0,63.7,False,65.79,86.90,76.90
457,38ev8mv1.igc,LS 10-ST,45.4,92.2,53.0,49.1,82.9,73.4,True,46.66,101.53,52.71
458,187VAIK1.igc,VENTUS 3F,46.4,90.5,65.5,46.6,94.9,77.4,True,43.14,74.96,55.48
459,468V8KR1.igc,ASW 27-18 E (ASG-29E),58.9,69.3,62.5,55.3,93.3,79.4,True,48.62,79.78,71.90
460,44QV8KR1.igc,ASW 27-18 E (ASG-29E),46.6,75.4,59.0,45.2,73.2,58.6,True,52.97,84.56,69.64
461,2024-03-19-NAV-170863-01.igc,DUO DISCUS T,46.7,54.5,52.5,45.6,76.9,63.2,True,,,
462,178V7R12.igc,ASW 27-18 E (ASG-29E),56.7,92.1,73.4,50.9,79.8,64.9,False,61.15,93.75,73.66
463,46PVAYE1.igc,AS 33ES,47.5,76.0,63.5,47.9,94.7,75.5,True,47.79,81.12,73.15
464,33HV8KR1.igc,ASW 27-18 E (ASG-29E),47.3,57.9,53.5,46.0,94.6,74.7,True,62.44,86.53,73.07
465,46IV8KR1.igc,ASW 27-18 E (ASG-29E),48.5,70.6,53.5,46.0,90.0,71.5,True,57.34,75.08,66.42
466,44QV83L1.igc,ASW 27-18 E (ASG-29E),46.3,64.3,56.1,45.5,65.6,57.6,False,67.01,81.86,70.85
467,18D_JP.igc,SZD-56-3 DIANA-2 FES,70.2,74.1,72.5,46.9,74.9,62.4,True,,,
468,4536-9239003575.igc,AS 33ES,56.2,68.7,62.2,54.8,87.0,74.2,False,68.73,89.65,73.27
469,4536-9239003255.igc,AS 33ES,52.0,63.4,56.1,52.5,84.4,64.8,False,67.21,96.74,74.28
470,4536-9239003312.igc,VENTUS 3T,78.8,91.7,86.6,45.0,94.0,77.6,True,56.98,76.54,61.34
471,4536-9239003351.igc,AS 33ES,45.2,93.6,64.1,45.5,94.8,71.7,True,63.92,96.00,73.61
472,4536-9239003639.igc,AS 33ES,"60.2,45.4","71.6,79.2","64.5,68.2","58.0,65.9","85.9,94.3","70.8,85.0",True,"69.45,61.88","92.96,85.39","75.28,69.51"
473,4536-9239003629.igc,AS 33ES,53.9,75.8,59.4,57.6,94.4,83.8,True,44.48,86.17,70.32
474,4536-9239003143.igc,AS 33ES,45.4,91.8,71.4,45.0,94.9,67.6,True,52.25,88.06,77.50
475,4536-9239003383.igc,AS 33ES,57.8,67.0,62.2,56.6,77.3,70.4,True,63.84,88.37,71.31
476,4536-9239003511.igc,AS 33ES,45.9,59.4,51.2,46.2,93.7,68.8,True,67.89,95.18,73.41
477,4536-9239003186.igc,AS 33ES,61.6,74.5,66.5,60.0,79.7,69.5,True,64.61,96.40,71.81
478,4536-9239003393.igc,VENTUS 3T,63.2,88.8,75.6,45.1,94.9,73.8,True,0.00,70.84,59.51
479,4536-9239003425.igc,VENTUS 3T,57.0,63.9,59.2,58.9,79.1,68.9,True,0.00,62.75,57.26
480,4536-9239003489.igc,VENTUS 3T,45.9,94.7,65.4,46.5,94.7,69.8,True,0.00,67.57,58.18
481,4536-9239003671.igc,AS 33ES,45.9,60.1,51.1,48.1,94.8,77.7,True,68.50,90.25,73.42
482,4536-9239003649.igc,VENTUS 3T,"49.2,45.6","68.2,49.7","57.9,46.6","55.5,45.6","83.7,71.3","71.2,61.9",True,"46.84,50.98","64.75,60.13","55.05,55.31"
483,4536-9239003625.igc,AS 33ES,"45.0,50.2","70.0,63.3","52.7,52.3","45.6,46.8","71.5,69.3","62.3,58.9",True,"53.62,49.09","78.42,66.66","64.90,61.49"
484,4536-9239003521.igc,VENTUS 3T,52.9,74.9,57.2,45.6,81.8,68.6,True,0.00,67.60,58.53
485,4536-9239003415.igc,AS 33ES,49.0,79.3,55.8,51.7,88.2,71.8,True,63.98,87.48,72.17
486,4536-9239003361.igc,VENTUS 3T,51.9,74.5,60.6,54.3,79.1,67.2,True,0.00,66.60,57.17
487,4536-9239003543.igc,AS 33ES,54.4,66.1,59.0,52.0,83.5,70.2,True,65.26,98.56,74.43
488,4536-9239003447.igc,AS 33ES,60.4,74.6,68.1,50.3,88.2,70.8,True,67.54,82.36,72.31
489,4536-9239003479.igc,AS 33ES,51.9,62.4,56.1,51.2,86.2,71.3,True,61.47,92.99,73.74
490,4536-9239003287.igc,AS 33ES,46.1,89.6,53.3,47.1,88.9,69.0,True,64.33,88.86,73.59
491,4536-9239003297.igc,VENTUS 3T,56.0,70.7,64.0,54.5,93.1,69.9,True,0.00,66.54,56.99
492,4536-9239003703.igc,AS 33ES,67.2,84.5,77.3,45.5,90.8,66.6,True,68.59,92.26,75.25
493,4536-9239003457.igc,VENTUS 3T,45.3,49.9,47.2,46.5,95.0,70.2,True,0.00,63.96,55.76
494,4536-9239003632.igc,VENTUS 3T,49.7,91.1,64.2,60.1,91.8,75.6,True,42.73,93.13,57.74
495,4536-9239003653.igc,AS 33ES,54.5,68.5,58.4,51.5,76.4,68.1,True,,,
