count,code,Manufacture,Model,Found,Gld,Engine-type,,Launch-Type,Blue Line,Max w/extented,Max extension,Min extension,Min Ext Alt,Alt loss,Method,cooldown,LD extended,Start time,Descent rate
7,8822002,PDPS PZL-BIELSKO,SZD-45A OGAR,,1,1,Reciprocating,,,,,,,,,,,,
2,8821658,AVIONIC SP JAWNA B KAWIK-L MAT,SZD-56-3 DIANA-2 FES,,1,10,Electric,Turbo,,,,,,,,,,,
6,3800267,SCHEMPP-HIRTH,VENTUS 2CT,,1,7,2-Cycle,Turbo,,,,,,,,,,,
1,3801911,SCHEMPP HIRTH,VENTUS 2CX,,1,10,Electric,,,,,,,,,,,,
1,3801909,SCHEMPP HIRTH FLUGZEUG VERTRIE,VENTUS 2CXM,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
7,3801962,SCHEMPP-HIRTH FLUGZEUGBAU GMBH,VENTUS 3M,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
1,380205A,SCHEMPP-HIRTH,VENTUS BT,,1,7,2-Cycle,Turbo,,,,,,,,,,,
4,3800266,SCHEMPP-HIRTH,VENTUS CM,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
,,,Twinshark,,,,,Self-Launch,,,,,,,,,,,
,,,N808EE,,,,,Self-Launch,,,,,,,,,,,
